id,name,category,description,address,lat,lng,openingHours,closedDays,image,stampToken,name_en,description_en,address_en,closedDays_en
shop-001,喫茶マドラグ,cafe,築100年の町家を改装した喫茶店。名物の厚焼き玉子サンドは一度食べたら忘れられない味。,京都市中京区押小路通西洞院東入ル,35.0078,135.7557,11:30-22:00,水曜,,a1b2c3d4-1111-4000-a000-000000000001,Kissaten Madrague,A cafe renovated from a 100-year-old machiya townhouse. Famous for their thick egg sandwich.,Nakagyo-ku Kyoto,Wednesday
shop-002,さらさ西陣,cafe,元銭湯をリノベーションしたカフェ。タイル張りの壁が美しく、独特の開放感がある空間。,京都市北区紫野東藤ノ森町11-1,35.0403,135.7453,12:00-23:00,水曜,,a1b2c3d4-2222-4000-a000-000000000002,Sarasa Nishijin,A cafe renovated from a former public bathhouse. Beautiful tiled walls create a unique open atmosphere.,Kita-ku Kyoto,Wednesday
shop-003,エレファントファクトリーコーヒー,cafe,河原町の雑居ビル2階に隠れた名店。自家焙煎の深煎りコーヒーとジャズが流れる大人の空間。,京都市中京区蛸薬師通河原町東入ル備前島町310-2,35.0048,135.7694,13:00-23:00,火曜,,a1b2c3d4-3333-4000-a000-000000000003,Elephant Factory Coffee,A hidden roastery in an alley. Carefully roasted single-origin beans.,Kawaramachi area Kyoto,Tuesday
shop-004,Bar 琥珀,bar,木屋町通りの路地裏にひっそり佇むオーセンティックバー。季節のフルーツカクテルが絶品。,京都市中京区木屋町通三条下ル,35.0087,135.7706,18:00-02:00,日曜,,a1b2c3d4-4444-4000-a000-000000000004,Bar Kohaku,An authentic bar in the Kiyamachi district. Exquisite cocktails made by skilled bartenders.,Kiyamachi Kyoto,Sunday
shop-005,Bar Rocking Chair,bar,先斗町の2階にある隠れ家バー。ウイスキーの品揃えが京都随一。静かに語らえる大人の空間。,京都市中京区先斗町通四条上ル,35.0042,135.7708,17:00-01:00,月曜,,a1b2c3d4-5555-4000-a000-000000000005,Bar Rocking Chair,A jazz bar with live performances. Enjoy quality whisky with music.,Sanjo area Kyoto,Monday
shop-006,麺屋 猪一,restaurant,ミシュランビブグルマン獲得のラーメン店。鯛出汁の上品なラーメンは行列必至。,京都市下京区河原町通四条下ル2丁目稲荷町,34.9993,135.7688,"11:30-15:00, 18:00-21:00",木曜,,a1b2c3d4-6666-4000-a000-000000000006,Menya Inoichi,A Michelin-recognized ramen shop. Clear soy sauce broth with refined flavor.,Kawaramachi Kyoto,Thursday
shop-007,出町ふたば,restaurant,明治32年創業の老舗和菓子店。名代豆餅は京都土産の定番。朝から行列ができる。,京都市上京区出町通今出川上ル青龍町236,35.0301,135.7697,8:30-17:30,火曜・第4水曜,,a1b2c3d4-7777-4000-a000-000000000007,Demachi Futaba,A long-established wagashi shop since 1899. Famous for their mame-mochi.,Demachi Kyoto,"Tuesday, 4th Wed"
shop-008,六曜社地下店,cafe,三条にある老舗喫茶の地下店。自家焙煎のコーヒーとドーナツの組み合わせが至高。,京都市中京区三条通河原町東入ル中島町113,35.0091,135.7688,12:00-18:00,水曜,,a1b2c3d4-8888-4000-a000-000000000008,Rokuyosha Underground,An underground kissaten since 1950. Hand-drip coffee with rich aroma.,Kawaramachi Kyoto,Wednesday
shop-009,Ace Hotel Kyoto ロビーバー,bar,新風館内のAce Hotel。地元クラフトビールや京都の素材を使ったカクテルが楽しめる。,京都市中京区車屋町245-2,35.0073,135.7604,11:00-24:00,なし,,a1b2c3d4-9999-4000-a000-000000000009,Ace Hotel Kyoto Lobby Bar,Craft beer and Kyoto-inspired cocktails in the stylish Shinpukan complex.,Nakagyo-ku Kyoto,None
shop-010,手打ちうどん たなか,restaurant,一乗寺の隠れた名店。毎朝打つ自家製うどんはコシが強く、出汁との相性抜群。,京都市左京区一乗寺高槻町10,35.0439,135.7935,11:00-14:00,日曜・月曜,,a1b2c3d4-aaaa-4000-a000-000000000010,Teuchi Udon Tanaka,A hidden gem in Ichijoji. Fresh handmade udon with firm texture and flavorful dashi.,Ichijoji Kyoto,Sun & Mon
